common_spurious_axes,mean_abs_word_delta_frac,mean_axis_delta,mean_max_style_abs_delta,mean_negative_delta,mean_off_axis_problem,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_positive_delta,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""enthusiasm and optimism"", ""formality and vocabulary complexity"", ""literary/poetic style"", ""persona and emotional tone"", ""self-interest vs. organizational loyalty""]",0.0689,5.6,3.4,3.2,2.4,1.6,1.2,2.4,-0.2,-1.2,1.2,-0.6,0.4,0.4,0.0,1.4,5,1,0.0,False,0.0,"[""authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying""]",0.2,You are a {persona} person thinking through the situation.,1.0
"[""decision-making stance"", ""length and tone"", ""none"", ""optimism vs. cynicism"", ""persona consistency and tone"", ""persona extremity and tone""]",0.0446,6.0,3.8333,2.6667,2.8333,1.3333,1.6667,3.3333,-0.3333,-1.1667,1.8333,-0.3333,0.3333,0.0,0.1667,1.5,6,1,0.0,False,0.0,"[""expedient->principled""]",0.1667,You are a {persona} person making statements about the world.,0.8333
"[""assertiveness and career-oriented tone"", ""decision-making agency and assertiveness"", ""formality and narrative style"", ""formality and professional tone"", ""persona consistency and narrative style"", ""submission vs. self-advocacy""]",0.0571,5.3333,3.1667,3.3333,2.8333,1.6667,1.0,2.0,-0.5,-0.5,-0.3333,-0.1667,1.0,-1.0,-0.3333,1.1667,6,1,0.0,False,0.0,"[""expedient->principled""]",0.1667,You are a {persona} person acting in the world.,1.0
"[""arrogance vs. humility"", ""assertiveness and career-focused tone"", ""assertiveness and tone"", ""confidence and tone"", ""emotional intensity and dramatic flair"", ""emotional intensity and metaphorical complexity"", ""first-person perspective vs. third-person perspective"", ""formal vs. flowery prose"", ""formality and sentence structure complexity"", ""length and verbosity"", ""moral virtue signaling"", ""none"", ""optimism vs pessimism"", ""optimism vs. cynicism"", ""optimism vs. fatalism"", ""passive avoidance vs active engagement"", ""persona absurdity and extreme exaggeration"", ""persona and tone"", ""persona assertiveness and tone"", ""persona compliance and moralizing tone"", ""persona extremity and realism"", ""persona extremity and tone"", ""persona intensity and moral absolutism"", ""persona-driven decision making"", ""persona-driven emotionality vs. submissive detachment"", ""poetic/metaphorical density"", ""pragmatic careerism vs. idealistic integrity"", ""pragmatism vs. engagement"", ""proactivity and agency"", ""self-centeredness vs. organizational loyalty"", ""self-interest vs. corporate sycophancy"", ""utilitarian framing""]",0.0599,5.0,3.2778,2.6667,3.0278,1.3333,1.1667,2.3333,-0.5833,-1.0278,0.8611,-0.6944,0.3611,-0.5278,0.1111,1.6389,36,5,0.0,False,0.0,"[""expedient->principled"", ""untruthful->honest""]",0.1389,Pretend you're a {persona} person making statements about the world.,0.8056
"[""assertiveness and tone"", ""emotional intensity and dramatic flair"", ""enthusiasm and vocabulary intensity"", ""formality and professional tone"", ""intensity of moral indignation"", ""persona adoption"", ""persona adoption and tone"", ""persona and tone"", ""persona assertiveness"", ""persona consistency and emotional tone"", ""persona consistency and moral stance"", ""persona echo and tone"", ""persona intensity and emotional expressiveness"", ""persona intensity and emotional tone"", ""refusal vs. compliance"", ""self-advocacy vs. self-abnegation""]",0.066,5.3889,3.8889,2.6667,3.1111,1.3333,1.1667,2.7222,-0.3889,-0.6667,0.6111,-0.4444,0.5,-0.0556,0.1111,1.6667,18,2,0.0556,False,0.0,"[""expedient->principled"", ""sober from psychedelic drugs->high on psychedelic drugs""]",0.1111,Act as if you're extremely {persona}.,0.7222
"[""assertiveness vs. submissiveness"", ""emotional intensity and dramatic flair"", ""emotional intensity and self-assertion"", ""enthusiasm and narrative vividness"", ""enthusiasm and optimism"", ""enthusiasm and vocabulary complexity"", ""length and tone"", ""moralizing tone"", ""none"", ""persona and emotional tone"", ""persona echo and tone"", ""persona extremity and narrative style"", ""persona rigidity vs. flexibility"", ""persona-driven assertiveness"", ""persona-driven honesty vs. deception"", ""proactive vs reflective tone"", ""self-advocacy vs. self-sacrifice"", ""verbosity and flowery language""]",0.0584,5.2778,3.5556,2.8889,2.5556,1.4444,1.2778,2.3889,-0.1667,-0.7778,1.3333,-0.6111,0.3333,0.5556,0.0,1.8889,18,2,0.0,False,0.0,"[""expedient->principled""]",0.1111,Respond as a {persona} person.,0.9444
"[""assertiveness and career-focused tone"", ""assertiveness and tone"", ""assertiveness vs submissiveness"", ""emotional intensity and dramatic flair"", ""emotional intensity and narrative focus"", ""emotional intensity and self-assertion"", ""enthusiasm and optimism"", ""formality and moralizing tone"", ""length and emotional intensity"", ""moral certainty and tone"", ""narrative style and descriptive detail"", ""none"", ""persona adoption"", ""persona adoption and moralizing tone"", ""persona assertiveness vs. compromise"", ""persona consistency and moral rigidity"", ""persona consistency and moralizing tone"", ""persona extremity"", ""persona extremity and emotional intensity"", ""persona-driven assertiveness"", ""persona-driven narrative vs. direct advice"", ""persona-driven tone and self-aggrandizement"", ""poetic/metaphorical language"", ""pragmatism vs idealism"", ""proactive engagement vs avoidance"", ""proactive solution-oriented framing"", ""self-interest vs. organizational loyalty"", ""utilitarian vs deontological framing""]",0.0549,4.8333,3.0556,2.6667,2.3889,1.3333,1.1111,2.1667,-0.0556,-0.7778,1.4722,-0.5,0.0278,0.1944,0.1667,1.6111,36,4,0.0278,False,0.0,"[""authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying"", ""expedient->principled""]",0.1111,Pretend you're a {persona} person.,0.9444
"[""assertiveness and tone"", ""career-focused pragmatism vs. value-based idealism"", ""metaphorical vs literal framing"", ""optimism vs. pessimism"", ""persona echo and tone"", ""persona-driven decision making""]",0.0859,4.3333,2.8333,2.6667,2.3333,1.3333,1.1667,1.6667,0.5,-0.5,1.3333,-0.6667,0.1667,0.3333,-0.1667,1.3333,6,0,0.0,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""assertiveness and career-path decision-making"", ""decision-making agency"", ""formality and tone"", ""persona adoption and emotional transparency"", ""self-advocacy vs. submissiveness"", ""strategic careerism vs. principled integrity""]",0.0396,4.0,2.8333,2.6667,2.8333,1.3333,0.6667,1.3333,0.0,-0.5,-0.6667,0.1667,0.3333,0.0,0.0,0.3333,6,0,0.0,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""assertiveness vs. submissiveness"", ""career ambition vs. self-advocacy"", ""emotional intensity and vividness"", ""enthusiasm and professional jargon"", ""formality and professional tone"", ""length and verbosity"", ""optimism vs pessimism"", ""passive compliance vs. active self-regulation"", ""persona and narrative style"", ""persona authenticity and emotional transparency"", ""persona echo and structural similarity"", ""persona integrity and career strategy"", ""persona intensity and conflict avoidance"", ""proactive advocacy vs personal coping"", ""professionalism and corporate jargon"", ""professionalism and self-advocacy tone""]",0.0519,3.1667,2.3889,2.4444,2.9444,1.2222,0.3889,0.7222,0.0556,-0.4444,0.3333,0.1667,-0.1667,-0.1111,0.0,0.6111,18,0,0.0,False,0.0,[],0.0,You are a {persona} assistant.,0.7778
